251186,Iquitos
208177,Rabat
157900,Kingston
2906,Perth
498366,Forked River
86608,Yerevan
288081,Kaliningrad
270585,Wonsan
207067,Hangzhou
7907,Minneapolis
266380,Belfast
306449,Kyoto
12737,Graz
297118,Rome
109864,Kraków
326215,Nantes
147141,Santa Cruz de la Sierra
14184,Pekanbaru
252359,Rotterdam
425987,Gaza
493409,Greenwich
200144,Cuiabá
389297,Bandung
421749,Linz
304888,Maseru
495040,Macapá
353126,Oklahoma City
257973,Thimphu
109714,Dongguan
110001,Patna
279230,Ahmedabad
149282,Providence
144897,Bamako
271667,Saipan
359155,Warsaw
353362,Tabriz
390854,Turin
326044,Kuala Lumpur
400185,Incheon
329686,Portland
334138,Hai Phong
358166,Pyongyang
410478,Chiang Mai
121369,Koulikoro
156637,Tokyo
493813,Abidjan
334091,Toulouse
289883,Brazzaville
472934,Damascus
415063,Charlottetown
46773,Port Elizabeth
185069,San José
377313,Cali
395216,Manila
370192,Iqaluit
232509,Edinburgh
375557,Porto
132625,Chişinău
177011,Oranjestad
345012,Porto
270872,City of Halifax
98719,Sitka
81410,Manaus
313023,Abidjan
483684,Las Palmas de Gran Canaria
4452,Bogotá
349482,Cannes
349364,Jakarta
1430,St. John's
461920,Cayenne
429140,Makassar
8955,Kyoto
107599,Changchun
375913,Magadan
483059,Townsville
480328,Adana
247336,Zagreb
377418,Tunis
44832,Boa Vista
192010,Monrovia
20786,Valletta
419873,Nouakchott
129088,Sydney
460529,Port of Spain
196130,Yokohama
28169,Port Moresby
154198,Harbin
355733,Balikpapan
445355,Málaga
75948,Providence
408402,Charlotte
195136,Bucharest
369833,Ouagadougou
421871,Konya
419385,Tianjin
50572,Glasgow
359831,Semarang
261535,Pune
323529,Sydney
75150,Lanzhou
368033,Mumbai
181446,Naypyidaw
32605,Guangzhou
52884,Chongqing
121803,Dunedin
165827,Port Moresby
110566,Vitória
37326,Hangzhou
357912,Serekunda
114759,Mexicali
165232,Yekaterinburg
119322,Abuja
455252,Washington
74406,Sydney
35775,Chihuahua
496134,Houston
260582,Adak
316274,Rawalpindi
284760,Kaliningrad
444267,Bogotá
418165,Boston
291120,Huế
253389,Indianapolis
497271,Perm
257906,Avarua
334676,Bissau
191076,Mérida
257146,Liverpool
129566,San Diego
40386,Fairbanks
419754,Malé
434731,Cali
131429,Bulawayo
445410,Fairbanks
179216,Kanpur
399292,Cartagena
263066,The Hague
419311,Alofi
217886,Algiers
395163,Johor Bahru
229019,Ciudad del Este
140217,Chittagong
70720,Pago Pago
146102,Edinburgh
85858,Pekanbaru
377712,The Hague
93780,Copenhagen
352938,Nanning
392766,San Carlos de Bariloche
495965,Naypyidaw
203771,Riyadh
384516,Athens
483792,Taipei
324580,Rosario
374270,Luxor
154274,Bogotá
239249,Charlottetown
224481,Muscat
409306,Anchorage
15108,Austin
444822,Kawasaki
280669,Curitiba
417078,Boa Vista
383567,Rochester
386267,Boa Vista
497599,Strasbourg
297154,Denver
430391,Zhengzhou
322510,Lahore
473862,Freetown
175709,Incheon
463439,Harbin
282684,Kanpur
392368,Douala
462217,Belmopan
49170,El Paso
445722,Sofia
277928,Kiev
282036,Rio de Janeiro
409578,Tartu
131815,Lyon
354340,Sacramento
498931,Monaco
153198,Melekeok
411058,Tirana
46994,Bahía Blanca
119445,Accra
243947,Port-au-Prince
25495,Chuí
496605,Berlin
36296,Bern
186436,Medina
209106,Samara
343751,Linz
167350,Dammam
350191,Bissau
88380,Vitória
39389,Dongguan
95108,Colombo
124886,Taipei
426530,Perm
260874,Tamale
488035,Chennai
331299,Melbourne
342219,Kuching
401525,Santa Cruz de la Sierra
302255,Mamoudzou
210472,Timbuktu
132396,Rosario
487679,Mérida
249098,Suva
374795,Ürümqi
215790,Saint Petersburg
69440,Skopje
149150,San Francisco
183650,Split (city)
344572,Kharkiv
168873,South Tarawa
139742,Manzini
311321,Nanjing
248996,Bern
306005,Riga
248186,Vaduz
418290,Perth
415696,Edinburgh
152597,Nukus
207603,Antananarivo
78670,Tucson
491658,Darwin
303006,London
254799,Mandurah
188629,Gaziantep
132159,Charlotte Amalie
224884,Palma
217346,Malacca Town
240504,Gdańsk
486416,Ilhéus
443343,Managua
313608,Djibouti (city)
281811,Mogadishu
30773,Rabat
385279,London
171886,Mandurah
47163,Kansas City
4833,Ambon
211614,Shijiazhuang
385471,Bilbao
432688,São José dos Campos
22813,Taipei
386143,Istanbul
48522,Mata-Utu
474493,Hilo
405404,Vatican City
475402,Casablanca
234444,Omsk
123407,Greenwich
374413,Punta Arenas
424849,Malabo
422885,Faisalabad
411420,Sukhumi
221789,Cincinnati
214341,Kota Kinabalu
176927,Batticaloa
352248,Dammam
377365,Tashkent
445922,Manzini
154911,Valencia
267114,Ottawa
310659,Quezon City
286501,Adana
53568,Sukhumi
86155,Hobart
131278,Harare
172355,Mérida
145296,Maputo
290055,Tabriz
341417,Jerusalem
370705,Munich
494356,Handan
386901,Apia
124208,Bratislava
334324,Kandy
423918,Hai Phong
341451,Gibraltar
207193,Mexico City
442920,Manzini
185374,Glasgow
91613,Xi'an
180581,Brussels
291059,Ahmedabad
453927,Durban
127403,Iloilo City
361824,Mbabane
98446,Kandy
392349,Raleigh
257922,Manzini
371496,Zhengzhou
102892,Pittsburgh
153348,La Serena
476241,Greenwich
182387,Dunedin
477418,Maceió
483550,Avarua
360516,Nagoya
110346,Andorra la Vella
135487,Nouméa
383288,Guangzhou
167470,Xining
233246,Kraków
245325,Dunedin
224245,Puerto Williams
79446,Cairo
88607,Handan
224700,Shenzhen
22356,Balikpapan
51875,Ashgabat
155477,Phnom Penh
376312,Hai Phong
364962,Melekeok
365816,Invercargill
83019,Durban
488982,Banda Aceh
26174,Reykjavík
454920,Ibiza
121672,São Paulo
415213,Cockburn Town
395725,Daegu
360544,Manaus
24335,Zagreb
41362,Istanbul
130977,Kobe
293799,Taichung
259645,Amritsar
18126,Jacksonville
334607,Nice
66648,St. Louis
394280,Edmonton
318916,Luanda
450357,Hanover
309959,Hanoi
6887,Assis
379586,St. John's
171699,Omsk
188405,Kharkiv
418281,The Valley
357292,Koror
141153,Thiès
370259,Kandy
153714,Vaduz
482946,Mata-Utu
120397,Libreville
263897,Lobamba
65897,Guatemala City
264191,Asunción
248987,Gold Coast
97046,Sapporo
397987,Lomé
484692,Oklahoma City
237933,Marseille
102220,Albuquerque
347440,Huế
5671,Lyon
447110,La Paz
10767,Asmara
266669,Port Vila
233595,San Carlos de Bariloche
90929,Dalian
185068,Wonsan
303577,Charlottetown
261065,Praia
63412,Vladivostok
254847,N'Djamena
287623,New Delhi
333204,Brasília
408918,Bissau
104540,Tripoli
344885,Guatemala City
247,Riyadh
